gadm_id0_1	gadm_id1_1	gadm_id0_2	gadm_id1_2	id_subfield	n
39	16	226	35	108	1
39	16	226	35	121	1
39	16	226	35	127	4
39	16	226	35	141	3
39	16	226	35	83	2
39	16	226	35	90	2
39	16	226	36	147	2
39	16	226	36	4	1
39	16	226	36	69	1
39	16	226	45	25	1
39	16	226	48	145	1
39	16	226	53	145	1
39	16	226	65	145	1
39	16	226	65	150	1
39	16	226	70	12	1
39	16	226	70	127	1
39	16	226	70	83	1
39	16	226	70	90	1
39	16	226	73	113	1
39	16	226	73	3	1
39	16	247	1	147	1
39	16	247	1	26	1
39	16	247	1	3	1
39	16	247	1	4	1
39	16	247	1	90	2
39	16	247	1	96	3
39	16	247	2	1	1
39	16	247	2	108	2
39	16	247	2	111	1
39	16	247	2	121	1
39	16	247	2	127	7
39	16	247	2	139	1
39	16	247	2	141	1
39	16	247	2	145	3
39	16	247	2	147	2
39	16	247	2	149	1
39	16	247	2	162	1
39	16	247	2	2	1
39	16	247	2	26	1
39	16	247	2	83	5
39	16	247	2	88	1
39	16	247	2	90	3
39	16	247	2	93	4
39	16	247	2	96	1
39	16	247	4	108	2
39	16	247	4	111	1
39	16	247	4	120	1
39	16	247	4	127	2
39	16	247	4	65	1
39	16	247	4	83	3
39	16	247	4	88	1
39	16	247	4	90	4
39	16	247	4	96	4
39	16	247	5	147	1
39	16	247	6	13	1
39	16	247	6	145	1
39	16	247	6	90	1
39	17	39	16	151	1
39	17	39	16	90	1
39	19	39	13	121	1
39	19	39	16	121	2
39	19	39	16	93	1
39	20	39	16	145	2
39	21	39	16	108	2
39	21	39	16	111	1
39	21	39	16	116	1
39	21	39	16	149	1
39	21	39	16	96	1
39	21	39	23	108	1
39	21	106	8	83	1
39	21	106	26	43	1
39	21	123	13	108	1
39	21	136	9	43	1
39	21	136	9	69	1
39	21	136	12	108	1
39	21	136	12	69	1
39	21	177	47	69	1
39	21	177	52	69	1
39	21	226	3	127	1
39	21	226	3	49	1
39	21	226	9	149	1
39	21	247	4	96	1
39	22	226	36	159	1
39	23	39	16	108	1
39	23	39	16	83	1
39	23	39	21	108	1
39	23	247	4	83	1
39	24	39	2	127	1
39	24	39	3	127	1
39	24	39	3	90	1
39	24	39	16	121	1
39	24	39	16	127	2
106	1	106	2	148	1
106	1	106	2	152	1
106	1	106	2	169	1
106	1	106	4	140	1
106	1	106	4	152	1
106	1	106	4	169	2
106	1	106	8	127	1
106	1	106	8	141	1
106	1	106	8	152	3
106	1	106	8	169	3
106	1	106	8	176	2
106	1	106	8	18	1
106	1	106	8	3	1
106	1	106	10	13	3
106	1	106	10	14	1
106	1	106	10	145	1
106	1	106	10	147	1
106	1	106	10	152	1
106	1	106	10	159	1
106	1	106	10	169	4
106	1	106	10	175	1
106	1	106	10	176	4
106	1	106	10	18	1
106	1	106	10	88	1
106	1	106	11	152	1
106	1	106	11	22	1
106	1	106	12	116	1
106	1	106	12	156	1
106	1	106	12	169	1
106	1	106	12	18	1
106	1	106	19	3	1
106	1	106	21	141	1
106	1	106	30	159	1
106	1	106	32	1	1
106	1	106	33	127	1
