gadm_id_0	gadm_id_1	gadm_id_2	n
177	60	1216	19
177	60	1219	6
177	60	1220	1
177	61	1251	2
177	61	1254	1
177	61	1255	5
177	61	1270	2
177	61	1280	2
177	61	1284	1
177	62	1290	11
177	62	1304	4
177	62	1308	1
177	62	1317	1
177	62	1321	2
177	63	1330	1
177	64	1335	2
177	64	1337	5
177	64	1343	3
177	65	1361	4
177	66	1369	3
177	67	1393	2
177	68	1406	1
177	70	1421	1
177	70	1429	2
177	71	1430	1
177	71	1431	13
177	71	1434	1
177	72	1449	11
177	73	1468	1
177	73	1469	1
177	74	1476	2
177	74	1477	1
177	75	1499	8
177	77	1535	1
177	77	1537	1
177	77	1549	13
177	78	1553	5
177	79	1562	1
177	79	1563	2
177	79	1564	1
177	79	1566	1
177	79	1567	2
177	80	1578	7
177	81	1620	26
177	81	1631	24
177	82	1641	77
203	0	0	44785
226	1	4	2
226	2	10	1
226	3	16	2
226	3	18	3
226	3	22	3
226	3	25	1
226	3	28	18
226	3	32	5
226	3	39	76
226	3	47	26352
226	3	52	2
226	3	61	8
226	3	63	4
226	4	74	1
226	4	76	28
226	5	93	68
226	6	103	5
226	7	116	10
226	7	121	1
226	8	126	1
226	8	129	72
226	9	134	5
226	9	135	1
226	9	136	1
226	9	139	1
226	9	142	2
226	9	145	3
226	9	146	1
226	9	148	3432
226	9	149	1
226	9	154	1
226	10	157	2
226	10	162	8
226	10	163	1
226	10	165	2
226	10	167	103
226	10	169	4
226	11	175	1
226	11	176	9
226	11	180	675
226	11	184	2
226	11	185	19
226	12	188	44
226	12	191	1
226	13	204	27
226	13	209	2
226	14	218	6
226	15	227	68
226	15	231	6
226	15	234	37
226	16	238	1
226	16	239	2
226	16	248	2997
226	16	252	1
226	17	267	6
226	18	273	1
226	18	276	158
226	19	286	9
226	19	288	20
226	20	295	45
226	20	301	1
226	21	310	41
226	22	318	1
226	23	328	26
226	23	329	8
226	23	330	463
226	23	331	1
226	24	339	1
226	25	344	157
226	25	345	29
226	26	349	17
226	26	350	1825
226	26	352	351
226	27	356	29
226	28	385	976
226	28	390	8
226	28	392	2
226	29	406	52
226	30	418	7
226	30	424	146
226	30	432	29
226	30	435	1
226	31	440	2
226	31	441	1
226	31	442	22
226	32	454	23
226	32	458	2
226	33	464	1
226	34	470	1
226	34	477	23
226	35	490	1136
226	36	493	42
226	36	496	4324
226	36	498	2
226	36	499	122
226	37	505	159
226	37	506	1
226	38	515	7
226	40	526	106
226	41	532	2
226	41	533	1
226	41	535	2
226	41	539	225
226	41	540	11
226	42	546	22
226	42	550	1
226	43	557	56
226	43	559	1
226	44	564	4
226	45	575	865
226	46	583	1
226	46	587	11
226	46	591	66
226	46	592	1
226	46	595	1
226	47	597	1
226	47	598	10
