gadm_id_0	gadm_id_1	year	n
106	3	2013	6
106	3	2014	4
106	4	2004	16
106	4	2005	12
106	4	2006	14
106	4	2007	13
106	4	2008	32
106	4	2009	35
106	4	2010	35
106	4	2011	33
106	4	2012	63
106	4	2013	94
106	4	2014	92
106	5	2005	2
106	5	2006	4
106	5	2007	1
106	5	2008	1
106	5	2009	2
106	5	2010	4
106	5	2011	7
106	5	2012	4
106	5	2013	4
106	5	2014	8
106	6	2005	2
106	6	2007	1
106	6	2009	1
106	6	2010	1
106	6	2011	2
106	6	2012	4
106	6	2013	2
106	6	2014	3
106	7	2005	1
106	7	2006	3
106	7	2007	3
106	7	2008	2
106	7	2009	2
106	7	2010	3
106	7	2011	2
106	7	2012	4
106	7	2013	6
106	7	2014	8
106	8	1994	1
106	8	2002	5
106	8	2003	3
106	8	2004	144
106	8	2005	152
106	8	2006	228
106	8	2007	235
106	8	2008	258
106	8	2009	298
106	8	2010	277
106	8	2011	327
106	8	2012	398
106	8	2013	480
106	8	2014	463
106	9	2005	6
106	9	2006	3
106	9	2007	5
106	9	2008	6
106	9	2009	2
106	9	2010	1
106	9	2011	5
106	9	2012	2
106	9	2013	5
106	9	2014	5
106	10	2000	3
106	10	2003	1
106	10	2004	187
106	10	2005	233
106	10	2006	238
106	10	2007	213
106	10	2008	282
106	10	2009	414
106	10	2010	440
106	10	2011	444
106	10	2012	701
106	10	2013	868
106	10	2014	713
106	11	2003	1
106	11	2004	15
106	11	2005	25
106	11	2006	33
106	11	2007	34
106	11	2008	38
106	11	2009	55
106	11	2010	59
106	11	2011	84
106	11	2012	96
106	11	2013	136
106	11	2014	166
106	12	2001	1
106	12	2002	3
106	12	2003	1
106	12	2004	51
106	12	2005	71
106	12	2006	59
106	12	2007	62
106	12	2008	100
106	12	2009	152
106	12	2010	139
106	12	2011	163
106	12	2012	200
106	12	2013	301
106	12	2014	367
106	13	2004	5
106	13	2005	7
106	13	2006	7
106	13	2007	14
106	13	2008	6
106	13	2009	8
106	13	2010	13
106	13	2011	12
106	13	2012	15
106	13	2013	16
106	13	2014	23
106	14	2005	1
106	14	2006	1
106	14	2007	1
106	14	2009	3
106	14	2010	3
106	14	2011	4
106	14	2012	9
106	14	2013	17
106	14	2014	15
106	15	2004	4
106	15	2005	3
106	15	2006	5
106	15	2007	4
106	15	2008	4
106	15	2009	5
106	15	2010	3
106	15	2011	5
106	15	2012	10
106	15	2013	11
106	15	2014	13
106	16	2004	6
106	16	2005	4
106	16	2006	6
106	16	2007	4
106	16	2008	10
106	16	2009	11
106	16	2010	16
106	16	2011	9
106	16	2012	5
106	16	2013	10
106	16	2014	11
106	17	2004	1
106	17	2010	3
106	17	2011	1
106	17	2012	1
106	17	2013	1
106	17	2014	1
106	18	2004	5
106	18	2005	8
106	18	2006	5
106	18	2007	9
106	18	2008	11
106	18	2009	9
106	18	2010	14
106	18	2011	8
106	18	2012	14
106	18	2013	19
106	18	2014	19
106	19	2012	1
106	20	2004	1
106	20	2005	1
106	20	2006	2
